Code_commune,COM,NotePop,NoteSanté,NoteRestauration,NoteServicePubl,NoteService,NoteTransport,NoteActivités,NoteCouv,NotePrix
01011,Apremont,1,1,1,1,4,2,1,4,3
01012,Aranc,1,2,1,1,4,2,2,1,1
01015,Arboys en Bugey,2,1,1,1,4,2,4,5,3
01017,Argis,1,1,1,1,4,2,4,1,1
01019,Armix,1,1,1,1,2,1,1,1,1
01022,Artemare,3,5,4,3,5,5,4,1,1
01023,Asnières-sur-Saône,1,3,2,1,1,1,1,5,2
01024,Attignat,3,5,4,1,5,4,4,4,1
01025,Bâgé-Dommartin,3,4,3,1,5,4,4,2,2
01027,Balan,3,4,4,1,5,4,4,3,2
01028,Baneins,2,1,2,1,4,4,4,1,1
01029,Beaupont,2,3,1,1,4,4,4,3,1
01030,Beauregard,2,3,2,1,5,4,4,1,4
01031,Bellignat,3,4,4,1,5,5,5,4,2
01032,Béligneux,3,5,4,1,5,4,5,4,1
01033,Valserhône,5,5,5,4,5,5,5,3,2
01034,Belley,4,5,5,4,5,5,5,1,3
01035,Belleydoux,1,1,1,1,3,2,4,5,1
01037,Bénonces,1,1,1,1,3,2,1,4,3
01040,Béréziat,2,1,2,1,4,3,4,1,1
01042,Bey,1,1,1,1,3,1,3,5,2
01043,Beynost,3,5,5,1,5,5,5,1,1
01044,Billiat,2,1,2,1,4,4,2,5,1
01045,Birieux,1,1,2,1,4,1,2,1,2
01046,Biziat,2,3,2,1,4,3,4,4,3
01049,La Boisse,3,5,4,1,5,5,4,1,3
01050,Boissey,1,1,4,1,4,2,2,1,3
01051,Bolozon,1,1,1,1,4,2,1,1,3
01052,Bouligneux,1,1,4,1,4,1,1,4,1
01053,Bourg-en-Bresse,5,5,5,5,5,5,5,5,3
01054,Bourg-Saint-Christophe,3,2,4,1,5,2,4,5,2
01057,Boz,2,1,2,1,4,4,4,5,3
01058,Brégnier-Cordon,2,4,4,1,4,4,4,4,2
01060,Brénod,2,4,1,1,4,3,4,1,4
01061,Brens,3,1,4,1,5,2,4,1,2
01062,Bressolles,2,1,2,1,4,3,4,1,3
01063,Brion,2,3,2,1,4,4,4,3,1
01064,Briord,3,2,2,1,5,4,3,5,4
01065,Buellas,3,4,4,1,5,4,4,4,2
01066,La Burbanche,1,1,1,1,2,1,2,4,2
01067,Ceignes,1,1,1,1,4,3,4,5,4
01069,Certines,3,4,2,1,4,4,4,5,1
01073,Ceyzérieu,3,2,3,1,5,4,4,1,2
01074,Chalamont,3,5,4,4,5,5,4,1,2
01075,Chaleins,3,4,1,1,5,4,4,4,1
01076,Chaley,1,1,2,1,2,1,2,1,1
01077,Challes-la-Montagne,1,1,2,1,4,1,3,1,3
01079,Champagne-en-Valromey,2,4,1,2,4,4,4,1,1
01080,Champdor-Corcelles,2,1,1,1,4,4,4,5,2
01081,Champfromier,2,3,3,1,4,4,4,4,4
01082,Chanay,2,2,1,1,4,3,4,4,3
01083,Chaneins,2,4,1,1,5,3,4,5,3
01084,Chanoz-Châtenay,2,1,1,1,4,2,4,1,3
01085,La Chapelle-du-Châtelard,1,1,1,1,4,2,2,1,1
01087,Charix,1,1,3,1,4,3,4,1,5
01089,Château-Gaillard,3,4,4,1,5,4,4,4,2
01090,Châtenay,1,1,1,1,4,3,3,1,3
01094,Chavannes-sur-Reyssouze,2,1,2,1,4,2,2,5,5
01095,Nivigne et Suran,2,4,3,1,5,4,4,2,2
01096,Chaveyriat,3,2,2,1,5,4,4,1,2
01098,Chazey-Bons,3,4,4,1,5,4,4,1,1
01099,Chazey-sur-Ain,3,4,4,1,5,4,4,5,2
01100,Cheignieu-la-Balme,1,1,1,1,1,1,3,1,2
01102,Chevroux,2,1,2,1,5,3,4,1,2
01103,Chevry,3,1,2,1,4,4,4,4,4
01104,Chézery-Forens,1,1,4,2,4,4,4,3,3
01105,Civrieux,3,4,4,1,5,4,4,5,4
01106,Cize,1,1,1,1,3,1,4,1,2
01107,Cleyzieu,1,1,1,1,3,1,1,1,3
01108,Coligny,3,5,4,2,5,4,4,4,3
01109,Collonges,3,5,4,2,5,4,4,4,4
01110,Colomieu,1,1,1,1,4,2,4,1,1
01110,Colomieu,1,1,1,1,4,2,4,1,3
01111,Conand,1,1,1,1,2,1,3,1,2
01111,Conand,1,1,1,1,2,1,3,1,2
01112,Condamine,1,3,2,1,4,3,4,1,3
01112,Condamine,1,3,2,1,4,3,4,1,3
01113,Condeissiat,2,1,3,1,5,3,4,1,4
01113,Condeissiat,2,1,3,1,5,3,4,1,4
01114,Confort,2,2,2,1,4,2,2,4,4
01114,Confort,2,2,2,1,4,2,2,4,4
01115,Confrançon,3,4,3,1,5,4,4,4,4
01115,Confrançon,3,4,3,1,5,4,4,4,3
01116,Contrevoz,2,1,2,1,4,3,4,1,2
01116,Contrevoz,2,1,2,1,4,3,4,1,2
01117,Conzieu,1,1,1,1,4,1,3,5,2
01117,Conzieu,1,1,1,1,4,1,3,5,4
01118,Corbonod,3,4,2,1,5,4,4,4,4
01118,Corbonod,3,4,2,1,5,4,4,4,3
01121,Corlier,1,1,1,1,2,2,1,1,1
01123,Cormoranche-sur-Saône,3,4,4,1,4,3,4,5,3
01123,Cormoranche-sur-Saône,3,4,4,1,4,3,4,5,2
01124,Cormoz,2,1,2,1,4,4,4,4,2
01124,Cormoz,2,1,2,1,4,4,4,4,4
01125,Corveissiat,2,1,3,1,4,2,4,4,2
01125,Corveissiat,2,1,3,1,4,2,4,4,3
01127,Courmangoux,2,1,3,1,4,2,4,5,2
01127,Courmangoux,2,1,3,1,4,2,4,5,2
01128,Courtes,1,1,1,1,4,2,1,5,2
01128,Courtes,1,1,1,1,4,2,1,5,1
01129,Crans,1,1,1,1,4,1,4,4,4
01129,Crans,1,1,1,1,4,1,4,4,1
01130,Bresse Vallons,3,4,4,1,5,4,5,5,4
01133,Cressin-Rochefort,1,1,2,1,4,3,4,1,3
01133,Cressin-Rochefort,1,1,2,1,4,3,4,1,2
01134,Crottet,3,4,4,1,5,4,4,5,4
01134,Crottet,3,4,4,1,5,4,4,5,2
01135,Crozet,3,2,4,1,5,4,4,5,4
01135,Crozet,3,2,4,1,5,4,4,5,3
01136,Cruzilles-lès-Mépillat,2,2,1,1,4,2,4,4,4
01136,Cruzilles-lès-Mépillat,2,2,1,1,4,2,4,4,1
01138,Culoz,3,5,4,2,5,5,5,2,3
01138,Culoz,3,5,4,2,5,5,5,2,1
01139,Curciat-Dongalon,1,1,1,1,4,2,4,1,2
